# master.sh manifest — 2026-06-29T02:49:06Z
# url	category	dir-name	tag	status
https://github.com/hibernate/hibernate-orm.git	java	hibernate	8.0.0.Beta1	cloned
https://github.com/jOOQ/jOOQ.git	java	jooq	version-3.21.6	cloned
https://github.com/openjpa/openjpa.git	java	openjpa		no-tag
https://github.com/liquibase/liquibase.git	java	liquibase	v5.0.3	cloned
https://github.com/flyway/flyway.git	java	flyway	flyway-12.9.0	cloned
https://github.com/FasterXML/jackson-databind.git	java	jackson-databind	jackson-databind-3.2.0	cloned
https://github.com/FasterXML/jackson-core.git	java	jackson-core	jackson-core-3.2.0	cloned
https://github.com/FasterXML/jackson-modules-java8.git	java	jackson-modules-java8	jackson-modules-java8-3.0.0-rc2	cloned
https://github.com/google/gson.git	java	gson	gson-parent-2.14.0	cloned
https://github.com/apache/avro.git	java	avro	release-1.12.2-rc1	cloned
https://github.com/apache/parquet-mr.git	java	parquet	parquet-1.8.0rc1	cloned
https://github.com/protocolbuffers/protobuf.git	java	protobuf	v35.1	cloned
https://github.com/apache/lucene.git	java	lucene	releases/solr/1.4.0	cloned
https://github.com/h2database/h2database.git	java	h2database	version-2.4.240	cloned
https://github.com/pgjdbc/pgjdbc.git	java	pgjdbc	v42.3.0-rc5	cloned
https://github.com/mysql/mysql-connector-j.git	java	mysql-connector	9.7.0	cloned
https://github.com/brettwooldridge/HikariCP.git	java	hikaricp	v4.x	cloned
https://github.com/apache/calcite.git	java	calcite	v1.23.0-rc1	cloned
https://github.com/questdb/questdb.git	java	questdb	e-3.0.3	cloned
https://github.com/eclipse/jnosql.git	java	jnosql	1.2.0-M1	cloned
https://github.com/orientechnologies/orientdb.git	java	orientdb	v1.3.0	cloned
https://github.com/neo4j/neo4j.git	java	neo4j	browser-0.1.24	cloned
https://github.com/checkstyle/checkstyle.git	java	checkstyle	v2-branch_lmp	cloned
https://github.com/pmd/pmd.git	java	pmd	pmd_releases/7.25.0	cloned
https://github.com/spotbugs/spotbugs.git	java	spotbugs	tag_with_2921	cloned
https://github.com/jacoco/jacoco.git	java	jacoco	v0.8.15	cloned
https://github.com/junit-team/junit5.git	java	junit5	r6.1.1	cloned
https://github.com/mockito/mockito.git	java	mockito	vrbranch	cloned
https://github.com/assertj/assertj-core.git	java	assertj	assertj-core-java8-1.0.0m1	cloned
https://github.com/testcontainers/testcontainers-java.git	java	testcontainers	testcontainers-1.2.1	cloned
https://github.com/google/error-prone.git	java	error-prone	v2.50.0	cloned
https://github.com/typetools/checker-framework.git	java	checker-framework	checkers-pre-dff	cloned
https://github.com/javaparser/javaparser.git	java	javaparser	v3.13.10	cloned
https://github.com/jboss-javassist/javassist.git	java	javassist	rel_3_32_0_ga	cloned
https://github.com/cglib/cglib.git	java	cglib	start	cloned
https://github.com/raphw/byte-buddy.git	java	byte-buddy	byte-buddy-1.18.10	cloned
https://github.com/robolectric/robolectric.git	java	robolectric	robolectric-bazel-3.8	cloned
https://github.com/apache/maven.git	java	maven	workspace-v0	cloned
https://github.com/gradle/gradle.git	java	gradle	v9.7.0-M1	cloned
https://github.com/google/auto.git	java	google-auto	auto-value-1.11.1	cloned
https://github.com/square/javapoet.git	java	javapoet	javawriter-2.5.1	cloned
https://github.com/rzwitserloot/lombok.git	java	lombok	v1.18.46	cloned
https://github.com/mapstruct/mapstruct.git	java	mapstruct	early-access	cloned
https://github.com/immutables/immutables.git	java	immutables	root-0.18	cloned
https://github.com/pitest/pitest.git	java	pitest		no-tag
https://github.com/archunit/archunit.git	java	archunit		no-tag
https://github.com/diffplug/spotless.git	java	spotless	v2.4.1	cloned
https://github.com/google/google-java-format.git	java	google-java-format	v1.35.0	cloned
https://github.com/spring-projects/sts4.git	java	sts4	vscode-spring-cli-0.9.0-RC1	cloned
https://github.com/eclipse/eclipse.jdt.ls.git	java	jdt-ls	v1.60.0	cloned
https://github.com/square/retrofit.git	java	retrofit	parent-2.8.1	cloned
https://github.com/bumptech/glide.git	java	glide	v5.0.7	cloned
https://github.com/square/picasso.git	java	picasso	picasso-parent-2.5.2	cloned
https://github.com/greenrobot/EventBus.git	java	eventbus	V3.3.1	cloned
https://github.com/greenrobot/greenDAO.git	java	greendao	V3.3.0	cloned
https://github.com/JakeWharton/butterknife.git	java	butterknife	butterknife-parent-7.0.1	cloned
https://github.com/ReactiveX/RxAndroid.git	java	rxandroid	v1.0.0-rc1	cloned
https://github.com/facebook/fresco.git	java	fresco	v3.7.0	cloned
https://github.com/airbnb/lottie-android.git	java	lottie	vv2.6.0-beta10	cloned
https://github.com/dagger/dagger.git	java	dagger	v0.21.7	cloned
https://github.com/Tencent/tinker.git	java	tinker	v1.9.15.2	cloned
https://github.com/alibaba/ARouter.git	java	arouter	1.5.2	cloned
https://github.com/nostra13/Android-Universal-Image-Loader.git	java	uil	v1.9.5	cloned
https://github.com/CymChad/BaseRecyclerViewAdapterHelper.git	java	brvah	v2.1.1	cloned
https://github.com/zhihu/Matisse.git	java	matisse	v0.5.3-beta3	cloned
https://github.com/square/leakcanary.git	java	leakcanary	v2.14	cloned
https://github.com/JakeWharton/timber.git	java	timber	timber-parent-3.1.0	cloned
https://github.com/permissions-dispatcher/PermissionsDispatcher.git	java	permissions-dispatcher	ktx-1.1.4	cloned
https://github.com/auth0/java-jwt.git	java	java-jwt	java-jwt-2.3.0	cloned
https://github.com/jwtk/jjwt.git	java	jjwt	0.13.0	cloned
https://github.com/pac4j/pac4j.git	java	pac4j	scribe-up-1.3.1	cloned
https://github.com/bouncycastle/bc-java.git	java	bc-java		no-tag
https://github.com/nimbusds/nimbus-jose-jwt.git	java	nimbus-jose-jwt		no-tag
